Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,16,3.0,5,38,17,44.7,12.67,5.67,0.13,0.29,16.4,0,0,0,4.2,4.2,0.11,0.8,0.8
Aston Villa,18,3.0,4,36,11,30.6,12.0,3.67,0.11,0.36,16.2,0,0,0,4.6,4.6,0.13,-0.6,-0.6
Bournemouth,19,3.0,5,46,15,32.6,15.33,5.0,0.11,0.33,16.8,2,0,0,5.7,5.7,0.13,-0.7,-0.7
Brentford,17,3.0,5,37,14,37.8,12.33,4.67,0.14,0.36,14.8,0,0,0,4.9,4.9,0.14,0.1,0.1
Brighton,21,3.0,6,46,13,28.3,15.33,4.33,0.13,0.46,16.6,1,0,0,5.3,5.3,0.12,0.7,0.7
Chelsea,18,3.0,7,37,18,48.6,12.33,6.0,0.19,0.39,16.0,2,0,0,4.9,4.9,0.13,2.1,2.1
Crystal Palace,19,3.0,1,37,11,29.7,12.33,3.67,0.03,0.09,19.7,2,0,0,3.0,3.0,0.08,-2.0,-2.0
Everton,18,3.0,2,37,10,27.0,12.33,3.33,0.05,0.2,14.8,0,0,0,3.2,3.2,0.09,-1.2,-1.2
Fulham,17,3.0,3,37,12,32.4,12.33,4.0,0.08,0.25,15.4,1,0,0,3.1,3.1,0.09,-0.1,-0.1
Ipswich Town,22,3.0,2,19,7,36.8,6.33,2.33,0.11,0.29,17.4,1,0,0,1.2,1.2,0.06,0.8,0.8
Leicester City,18,3.0,3,26,10,38.5,8.67,3.33,0.12,0.3,20.2,1,0,0,2.1,2.1,0.08,0.9,0.9
Liverpool,18,3.0,7,48,16,33.3,16.0,5.33,0.15,0.44,14.0,1,0,0,6.8,6.8,0.15,0.2,0.2
Manchester City,19,3.0,9,47,17,36.2,15.67,5.67,0.17,0.47,16.7,2,1,1,7.1,6.3,0.13,1.9,1.7
Manchester Utd,19,3.0,2,33,11,33.3,11.0,3.67,0.06,0.18,16.7,0,0,0,5.2,5.2,0.16,-3.2,-3.2
Newcastle Utd,18,3.0,4,26,9,34.6,8.67,3.0,0.15,0.44,13.1,0,0,0,3.4,3.4,0.14,0.6,0.6
Nott'ham Forest,19,3.0,3,53,21,39.6,17.67,7.0,0.06,0.14,17.0,1,0,0,4.6,4.6,0.09,-1.6,-1.6
Southampton,20,3.0,1,42,10,23.8,14.0,3.33,0.02,0.1,17.8,2,0,0,3.4,3.4,0.08,-2.4,-2.4
Tottenham,20,3.0,5,48,19,39.6,16.0,6.33,0.1,0.26,16.5,2,0,0,4.8,4.8,0.1,0.2,0.2
West Ham,20,3.0,3,41,7,17.1,13.67,2.33,0.05,0.29,16.0,0,1,1,4.4,3.6,0.09,-1.4,-1.6
Wolves,21,3.0,3,32,9,28.1,10.67,3.0,0.09,0.33,19.7,2,0,0,3.2,3.2,0.1,-0.2,-0.2
